
[15/10/22 17:02:57] [127.0.0.1] [notice] 123456 654321 20
[15/10/22 17:19:50] [SRC_IP: 127.0.0.1] [fine] 16272727 17172772 20000
[15/10/22 17:19:50] [SRC_IP: 127.0.0.1] [mitm_att] 16272728 17172772 2000000
[15/10/22 17:19:50] [SRC_IP: 127.0.0.1] [fine] 16272727 17172772 20000
[15/10/22 17:19:50] [SRC_IP: 127.0.0.1] [replay_att] 16272727 17172772 20000
[15/10/22 17:19:50] [SRC_IP: 127.0.0.1] [replay_att] 16272727 17172772 20000
[15/10/22 17:19:50] [SRC_IP: 127.0.0.1] [replay_att] 16272727 17172772 20000
[15/10/22 17:20:25] [SRC_IP: 127.0.0.1] [fine] 16272727 17172772 20000
[15/10/22 17:20:25] [SRC_IP: 127.0.0.1] [mitm_att] 16272728 17172772 2000000
[15/10/22 17:20:25] [SRC_IP: 127.0.0.1] [fine] 16272727 17172772 20000
[15/10/22 17:20:25] [SRC_IP: 127.0.0.1] [replay_att] 16272727 17172772 20000
[15/10/22 17:20:25] [SRC_IP: 127.0.0.1] [replay_att] 16272727 17172772 20000
[15/10/22 17:20:25] [SRC_IP: 127.0.0.1] [replay_att] 16272727 17172772 20000
[15/10/22 18:28:19] [SRC_IP: 127.0.0.1] [fine] 121212 121212 111
[15/10/22 18:34:17] [SRC_IP: 127.0.0.1] [mitm_att] 222222 1 1
[15/10/22 18:35:08] [SRC_IP: 127.0.0.1] [fine] 121212 121212 1
[15/10/22 18:35:08] [SRC_IP: 127.0.0.1] [replay_att] 121212 121212 1
[15/10/22 18:35:08] [SRC_IP: 127.0.0.1] [replay_att] 121212 121212 1
[15/10/22 18:36:25] [SRC_IP: 127.0.0.1] [fine] 121212 121212 1
[15/10/22 18:36:25] [SRC_IP: 127.0.0.1] [replay_att] 121212 121212 1
[15/10/22 18:36:25] [SRC_IP: 127.0.0.1] [replay_att] 121212 121212 1
[15/10/22 18:42:21] [SRC_IP: 127.0.0.1] [mitm_att] 2 2 2
